,Company,Deal,Industry,Entrepreneur Gender,ASK_Amount,ASK_Equity,ASK_Valuation
767,Joe's Gourmet Fish Fry,Yes,Food and Beverage,Mixed Team,150000,15,1000000
768,Goat Pet Products,Yes,Pet Products,Female,499000,9,5544444
769,Dude Robe,No,Fashion  Beauty,Male,150000,18,833333
770,The Long Hairs,Yes,Fashion  Beauty,Male,95000,10,950000
771,Alice's Table,Yes,Business Services,Female,250000,6,4000000
772,Zup,No,Fitness  Sports  Outdoors,Male,300000,10,3000000
773,Boobie Bar,Yes,Food and Beverage,Female,150000,10,1500000
774,Pandaloon,Yes,Pet Products,Female,60000,20,300000
775,The Pop,Yes,Children  Education,Female,250000,5,5000000
776,RounderBum,Yes,Fashion  Beauty,Male,150000,10,1500000
777,Brush Hero,No,Lifestyle  Home,Male,500000,10,5000000
778,Savy,No,Fashion  Beauty,Female,100000,10,1000000
779,Guzzle Buddy,Yes,Food and Beverage,Mixed Team,400000,10,4000000
780,Bouquet Bar,Yes,Lifestyle  Home,Male,150000,10,1500000
781,The Wingman,No,Fitness  Sports  Outdoors,Male,200000,12,1600000
782,Zuvaa,No,Fashion  Beauty,Female,460000,10,4600000
783,The Dough Bar,Yes,Food and Beverage,Mixed Team,300000,15,2000000
784,ShowerPill,No,Health  Wellness,Male,300000,10,3000000
785,ChangEd,Yes,Children  Education,Male,250000,15,1666667
786,SnapClips,Yes,Fitness  Sports  Outdoors,Male,150000,15,1000000
787,Sap!,No,Food and Beverage,Male,600000,12,5000000
788,Radiate,Yes,Fitness  Sports  Outdoors,Male,50000,20,250000
789,Petrol,No,Pet Products,Mixed Team,150000,20,750000
790,Everytable,Yes,Food and Beverage,Male,1000000,5,20000000
791,Gunnar Optiks,Yes,Lifestyle  Home,Male,750000,5,15000000
792,Avocaderia,Yes,Food and Beverage,Male,300000,10,3000000
793,Solsource,Yes,Lifestyle  Home,Female,500000,3,16666667
794,Sunnova,No,Food and Beverage,Male,500000,4,11111111
795,Egg Mazing,Yes,Lifestyle  Home,Male,350000,7,5000000
796,Hugo's Amazing Tape,Yes,Lifestyle  Home,Female,50000,50,100000
797,Coolpeds,No,Fitness  Sports  Outdoors,Male,250000,5,5000000
798,Coinout,Yes,Software  Tech,Male,250000,7,3333333
799,Bermie's,No,Fashion  Beauty,Male,200000,20,1000000
800,Lace Your Face,Yes,Fashion  Beauty,Female,350000,10,3500000
801,OA Foods,Yes,Food and Beverage,Male,300000,10,3000000
802,Thrive+,No,Health  Wellness,Male,400000,10,4000000
803,Final Straw,No,Lifestyle  Home,Mixed Team,625000,5,12500000
804,Bear Bowl,Yes,Lifestyle  Home,Mixed Team,100000,20,500000
805,Le-Glue,Yes,Children  Education,Male,80000,15,533333
806,Boxlock,No,Lifestyle  Home,Male,1000000,5,20000000
807,Sanaía,Yes,Food and Beverage,Female,150000,15,1000000
808,Lug Bug,No,Children  Education,Male,300000,10,3000000
809,Ta-Ta Towels,Yes,Fashion  Beauty,Female,200000,10,2000000
810,Shed Defender,Yes,Pet Products,Male,250000,10,2500000
811,Soupergirl,No,Food and Beverage,Female,500000,10,5000000
812,bundil,Yes,Software  Tech,Male,100000,10,1000000
813,Beyond Sushi,Yes,Food and Beverage,Male,1500000,30,5000000
814,Cup Board Pro,Yes,Lifestyle  Home,Mixed Team,100000,10,1000000
815,Manscaped,Yes,Health  Wellness,Male,500000,7,7142857
816,boomboom,No,Health  Wellness,Mixed Team,300000,10,3000000
817,Cave Shake,Yes,Food and Beverage,Female,250000,10,2500000
818,Butter Cloth,Yes,Fashion  Beauty,Male,250000,10,2500000
819,Handbag Raincoat,No,Fashion  Beauty,Female,300000,25,1200000
820,Rewardstock,Yes,Software  Tech,Male,200000,5,4000000
821,Wisp,No,Lifestyle  Home,Male,500000,10,5000000
822,The Kombucha Shop,Yes,Food and Beverage,Female,350000,10,3500000
823,Lockstraps,No,Lifestyle  Home,Male,200000,20,1000000
824,Vade Nutrition,Yes,Food and Beverage,Mixed Team,250000,10,2500000
825,Nui,Yes,Food and Beverage,Male,300000,10,3000000
826,Bottlekeeper,Yes,Lifestyle  Home,Male,1000000,5,20000000
827,Prank-O,Yes,Uncertain  Other,Male,640000,8,8000000
828,Ski-Z,Yes,Fitness  Sports  Outdoors,Male,50000,15,333333
829,Oatmeals,Yes,Food and Beverage,Female,500000,20,2500000
830,Hire Santa,Yes,Business Services,Male,200000,10,2000000
831,Pop It Pal,Yes,Uncertain  Other,Mixed Team,250000,10,2500000
832,Yumble,Yes,Food and Beverage,Mixed Team,500000,4,12500000
833,BollyX,No,Fitness  Sports  Outdoors,Male,375000,8,4687500
834,Mother,Yes,Food and Beverage,Mixed Team,400000,10,4000000
835,Moki Doorstep,Yes,Automotive,Mixed Team,150000,5,3000000
836,Sproing Fitness,No,Fitness  Sports  Outdoors,Male,500000,8,6250000
837,Bruw,Yes,Food and Beverage,Male,50000,25,200000
838,TushBaby,Yes,Children  Education,Female,200000,10,2000000
839,Adventure Hunt,Yes,Fitness  Sports  Outdoors,Male,150000,10,1500000
840,Uniform,No,Fashion  Beauty,Male,300000,10,3000000
841,Pristine,Yes,Health  Wellness,Mixed Team,50000,20,250000
842,Aquapaw,No,Pet Products,Male,200000,7,2666667
843,Sonnet James,Yes,Fashion  Beauty,Female,350000,25,1400000
844,Kitty Kasas,Yes,Pet Products,Mixed Team,200000,20,1000000
845,Makeup Junkie Bags,Yes,Fashion  Beauty,Female,200000,15,1333333
846,Angel Shave Club,No,Fashion  Beauty,Mixed Team,300000,10,3000000
847,Obvious Wines,Yes,Food and Beverage,Male,150000,5,3000000
848,ZuGoPet,No,Pet Products,Female,100000,10,1000000
849,Monti Kids,Yes,Children  Education,Female,200000,2,8000000
850,Twist It Up Combs,Yes,Fashion  Beauty,Male,225000,15,1500000
851,Fresh Bellies,No,Food and Beverage,Female,275000,5,5500000
852,SubSafe,Yes,Lifestyle  Home,Mixed Team,50000,13,384615
853,Zorpads,Yes,Fashion  Beauty,Mixed Team,150000,8,1875000
854,Life Lift Systems,Yes,Lifestyle  Home,Male,550000,15,3666667
855,CulrMix,No,Fashion  Beauty,Mixed Team,400000,10,4000000
856,Zookies,Yes,Pet Products,Male,50000,20,250000
857,GOGA,No,Health  Wellness,Mixed Team,50000,15,333333
858,Shower Toga,Yes,Lifestyle  Home,Female,80000,33,242424
859,ToyBox,Yes,Software  Tech,Mixed Team,150000,5,3000000
860,Moink Meat,Yes,Food and Beverage,Female,250000,10,2500000
861,Goalsetter,No,Software  Tech,Female,200000,4,5000000
862,Jolly Roger,No,Software  Tech,Male,400000,10,4000000
863,Urban Float,Yes,Health  Wellness,Male,500000,5,10000000
864,Kudo Banz,No,Children  Education,Mixed Team,150000,10,1500000
865,Pooch Selfie,Yes,Pet Products,Male,100000,20,500000
866,Wild Earth,Yes,Pet Products,Male,550000,5,11000000
867,SilkRoll,No,Fashion  Beauty,Mixed Team,250000,3,8333333
868,Press Waffle Co.,Yes,Food and Beverage,Male,200000,8,2500000
869,Pickup Pools,Yes,Automotive,Male,100000,25,400000
870,Dare-U-Go Bib,Yes,Children  Education,Female,350000,10,3500000
871,Nuchas Empanada,No,Food and Beverage,Male,2000000,8,25000000
872,CertifiKID,No,Children  Education,Male,500000,6,8333333
873,Kanga Koozie,Yes,Lifestyle  Home,Male,100000,10,1000000
874,HAVEN Lock,Yes,Lifestyle  Home,Mixed Team,600000,8,7500000
875,Pricetitution,Yes,Media  Entertainment,Male,100000,20,500000
876,Luma Soda,No,Food and Beverage,Male,500000,20,2500000
877,Hydroviv,Yes,Lifestyle  Home,Male,400000,10,4000000
878,Flip-It,No,Lifestyle  Home,Male,500000,10,5000000
879,Maven's Creamery,Yes,Food and Beverage,Female,400000,10,4000000
880,Sapre,Yes,Business Services,Male,500000,3,14285714
881,Swoveralls,No,Fashion  Beauty,Male,150000,15,1000000
882,Somnifix,Yes,Health  Wellness,Male,500000,10,5000000
883,The Best Pocket Sqaure Holder,Yes,Fashion  Beauty,Male,250000,15,1666667
884,Basepaws,Yes,Pet Products,Female,250000,5,5000000
885,The Bang Shack,No,Food and Beverage,Male,80000,20,0
886,Kymera,Yes,Fitness  Sports  Outdoors,Male,250000,5,5000000
887,DeskView,Yes,Lifestyle  Home,Male,150000,7,2000000
888,Saucemoto,Yes,Automotive,Male,45000,15,300000
889,DoughP,No,Food and Beverage,Female,450000,10,4500000
890,Cubicall,Yes,Lifestyle  Home,Male,350000,10,3500000
891,Fat Shack,Yes,Food and Beverage,Male,250000,7,3333333
892,Quickflip,Yes,Fashion  Beauty,Male,500000,5,10000000
893,BatBnB,Yes,Lifestyle  Home,Male,100000,16,625000
894,CoyoteVest,No,Pet Products,Mixed Team,250000,10,0
